Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:163607,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:163607,Course,2018-09-22 12:45 UTC,N/A,false,N/A,
Java EE: Design Patterns and Architecture,"Discover how to prevent common design issues and increase programming efficiency using design patterns and architecture in Java EE. In this course, instructor Alex Theedom dives into the fundamental topic of design patterns and software architecture, equipping you with the knowledge you need to choose the right architecture for your application. Alex covers the Gang of Four classic patterns, discussing the unique way they are implemented in the Java EE platform. This includes the Singleton, Facade, Observer, and Decorator patterns. He then goes over some of the most important architectural patterns used by the platform, including Filter, model-view-controller (MVC), Front Controller, and Interceptor. After diving into design patterns, he moves on to the topic of architecture, discussing the motivation and need for architecture and introducing some of the best-known structures. Alex finishes the course with a discussion of monolithic and microservice architectures.",Course,2019-05-22 10:23 UTC,N/A,false,N/A,
Eddie Davila's Everyday Statistics: Abridged Edition,"<p>Ever wondered why the house always wins? Or the odds of reaching the Super Bowl? What about how many beans it takes to make a bar of chocolate? Or the average monthly cost of a household pet? In this course—adapted from the popular LinkedInLearning series <i>Everyday Statistics</i>—instructor Eddie Davila shows you the value of using statistical analysis to draw insights from human life.</p><p>Take a deep dive into the power of numbers through some of Eddie’s greatest statistical hits. Find out why statistics can help you make better sense of the world—in more ways than you ever imagined. From sports and gaming to business and politics, to medicine, family, education, and leisure, join Eddie on a fascinating journey as he probes the limits of daily life, decoding anecdotes, strange wonders, and hidden truths about the real nature of our shared, numbered world.</p>",Course,2024-04-07 10:30 UTC,N/A,false,N/A,
Interviewing for Product Management Jobs,"Product management positions are fun, challenging, and lucrative—but the journey from first contact with recruiters to signing your offer letter can be arduous. In this course, get a guide to acing the PM interview process at any modern tech company. Instructor and product manager Cole Mercer describes what makes product management interviews uniquely tricky and goes over the typical flow of an interview, from your first conversations with recruiters through your final interviews (and their ultimate hiring decision). Cole goes over the most common questions and challenge formats in a product management interview, explaining how to approach each question the right way. Plus, learn which people you'll likely encounter in your interview process and what each of them is looking for in a candidate, and get a list of sample questions you can use to practice.",Course,2019-06-15 16:19 UTC,N/A,false,N/A,
Windows Server 2019: First Look,"Take a first look at the new features and improvements introduced in Windows Server 2019. The 2019 version of the enterprise-level server operating system from Microsoft boasts new hybrid cloud features and security updates, as well as application platform and Hyper-Converged Infrastructure (HCI) improvements. In this course, instructor Ed Liberman helps you get up to speed with Windows Server 2019 by providing a high-level overview of its most notable new features. In addition to discussing what's new, Ed goes over the basic setup of Windows Server 2019 and explains where this version fits into the larger history of the operating system.",Course,2018-12-16 16:27 UTC,N/A,false,N/A,
Predictive Analytics Essential Training: Data Mining,"Are you a data science practitioner, looking to develop or enhance your skills in predictive analysis and data mining? This course provides several “big picture” insights, via instructor Keith McCormick, a veteran practitioner who has completed dozens of real-world projects. Keith begins by introducing you to key definitions and processes that you will need to complete the course successfully. He steps you through defining the problem you need your predictive analysis to address, then focuses on how to make sure you meet the data requirements and how good data preparation improves your data mining projects.  Keith dives into the skill sets and resources that you need and the problems you will face. Then he goes over the steps to find the solution and put it to work with probabilities, propensities, missing data, meta modeling, and much more. Keith finishes up with detailed explanations of CRISP-DM and Tom Khabaza’s nine laws of data mining, plus Tom’s new 10th law.",Course,N/A,N/A,true,N/A,
Learning C++ (2021),"C++ is one of the most powerful and widely used programming languages of all time. It is also one of the oldest programming languages in use today. In this course, learn the basic elements of this object-oriented programming language that moves the world. Instructor Eduardo Corpeño begins with setting up the development environment and introducing the basic elements of object-oriented programming. Eduardo covers data types such as variables, expressions, assignments, constants, and more. He explains structures, classes, pointers, vectors, and so on. After stepping through the control flow process and a variety of useful functions, Eduardo finishes up with detailed information on opening and working with files.",Course,2023-11-13 15:52 UTC,N/A,false,N/A,
Confident Communication for Introverts,"<p>Introverts face some unique challenges when it comes to communication and socializing. In this course, communication coach TJ Guttormsen offers insights and practical strategies designed to help introverts develop the ability to communicate with confidence in any situation of their personal or professional lives.</p><p>Learn how to overcome social fears and worries, build confidence from within, and recharge and maximize your energy for social life. TJ shows you what it takes to project confidence through voice, tone, and body language and become more comfortable speaking, regardless of what’s at stake. By the end of this course, you’ll be prepared to speak up in groups, address common challenges such as interruption, and start and sustain meaningful conversations with just about anyone.</p><p>Note: This course was created by TJ Guttormsen. We are pleased to host this training in our library.</p>",Course,2025-10-26 15:02 UTC,N/A,false,N/A,
Ableton Live 12 Essential Training,"Do you work in audio recording, loop-based songwriting, or synth and sound design? In this course, music professor Rick Schmunk walks you through a variety of ways you can use Ableton Live 12 in your workflows. Rick shows you how to set up your system and use the Ableton Live user interface. He explains how to work with the browser, the Arrangement view, and the Session view. After going over how to use the MIDI Editor, how to record and edit audio, and how to work with arrangements, Rick covers plug-ins, effects racks, the live mixer, and mapping. Then he demonstrates how to make your life easier by automating graphics, editing, and clips, including real-time automation. Rick concludes with some practical advice on managing your files.",Course,2024-12-19 13:36 UTC,N/A,false,N/A,
Making Video 2: Teach Something,"<i>Making Video: Teach Something</i> is a beginner-level course for non-video people who want to make short videos focused on instruction. Staff author Ashley Kennedy shows that with the right techniques, making an engaging training video can be accomplished with little more than a smartphone. The course is presented in a workshop style where Ashley teaches a real-world professional (a chef) how to make a video for her website. Like the rest of the Making Video series, this course focuses on (a) planning a video project with an eye for success, (b) shooting the best possible video using very basic equipment, and (c) editing video with intention and finesse using free editing software. This installment also includes tips for teaching on camera. Following the same steps, you should be able to create engaging videos to teach others new skills and promote your brand and expertise.",Course,2020-03-31 07:39 UTC,N/A,false,N/A,
React VR: Interactive Multimedia,"Once you've learned the basics of virtual reality, you can create immersive, interactive experiences that enable users to play and learn. With React VR, developers can add multimedia, including video, 3D models, and animation, and use the component state to dynamically re-render content. This course teaches you how to go beyond the basics and combine these elements into a single immersive VR project: a space-themed environment for NASA Earth Science. Instructor Emmanuel Henri also teaches you how to structure and test your projects, letting you safely explore more complex possibilities with React VR.",Course,2018-08-20 18:31 UTC,N/A,false,N/A,
Agile Analysis Weekly Tips,"As a business analyst (BA) or product owner (PO) on an agile team, you're tasked with analyzing backlog items, customer experience, and other business processes to ensure that your team remains in tune with the overall project vision—and delivers products that customers adore. This series provides tips that can help you grasp how to best apply agile and collaborate with your team. Instructor Angela Wick goes over different models of how BAs and POs can work together to tackle agile analysis roles and tasks. She also shares strategies that can help you create a healthy and prioritized backlog, bring great testing practices to agile projects, and more.",Course,2019-01-09 16:26 UTC,N/A,false,N/A,
Onboarding New Hires as a Manager (2019),"Explore the work you need to do as a manager before a new employee’s first day, and find out about ways to make their first 90 days and beyond a successful experience for everyone. Discover the value of tasking another employee to act as a guide for your new employee, and find out about the role of human resources in the onboarding process. Instructor Todd Dewett shares insights about onboarding that can help you make your new hires feel welcome, informed, and ready to contribute.",Course,2022-01-08 09:45 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-09-05 16:19 UTC,N/A,false,N/A,
C# Test-Driven Development,"The old carpentry adage “measure twice, cut once” may not seem applicable to programming, but when you consider all the ill effects that bad code can have down the line, doesn’t “test twice, code once” make sense? The later you test, the more effort it requires to fix any issues that may have been introduced months ago. With test-driven development, you create the test first, and then you write the code. In this course, Christian Wenz shows how to apply TDD principles to C# programming. Christian takes a look at TDD in theory (what does it mean and what does a programmer need to know?), as well as in practical terms (how do you use TDD for C#-based projects?). He also illustrates TDD in action by adding tests, offers advice to help programmers understand available frameworks, and looks at more complex scenarios for using TDD like testing web applications and APIs, and replacing database objects during a test.",Course,2023-10-02 06:31 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2820012,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2820012,Course,2021-01-23 07:48 UTC,N/A,false,N/A,
IoT Foundations: Fundamentals,"The Internet of Things (IoT) is more than just smart or connected devices. In this course, learn what IoT is, and how it works from a technical standpoint. Bruce Sinclair provides a broad overview of IoT, explaining each of its main components. He also goes into the software-defined product—the digital twin of the physical product—as well as the hardware-defined product, explaining how sensors and embedded systems help to gather data. Plus, he dives into the network fabric, and explains what external systems are and why it's important to consider them when designing an IoT product.",Course,2022-03-08 09:27 UTC,N/A,false,N/A,
"Building Applications with Angular, ASP.NET Core, and Entity Framework Core","Creating a complete full-stack application requires integrating multiple components. The front-end piece must talk smoothly to the server, and within the server, you'll need multiple layers: one to talk with the client, and one to store information on the server. This course teaches integration through the perspective of a quiz project, with instructor Alexander Zanfir showing how to use Angular, ASP.NET Core, and Entity Framework Core to develop a full-stack application. Alexander explains how to display and edit data in Angular with ASP.NET Core, create forms, navigate to different views, and more.",Course,2019-02-20 11:53 UTC,N/A,false,N/A,
Build Your Own Professional Training: Quick Start Guide,"So you want to develop a successful training program. Where do you start? Right here! This fun and fast-paced course is for people with little or no experience building internal training—but who need to start now. Instructor David Brownlee has developed a quick start guide to developing a professional training program. It’s a blueprint you can use to create amazing training in any subject, at any time, and deliver it with confidence. Learn how to set your goals before you begin, select the right medium, and use the art of storytelling to maximize learning engagement and retention. Long-time instructor and training developer David Brownlee also explains how to use video, design, and graphics effectively, and evaluate the effectiveness of your program over time.",Course,N/A,N/A,true,N/A,
Creating Illustrator Infographics (2019),"Infographics are everywhere. These data-driven illustrations visualize your data and help to tell the story behind it. In this course, Tony Harmer shows how to design charts, graphs, and other infographic components in Adobe Illustrator. He explains how to develop your core skills—including the ability to customize standard charts and manage large documents—and reveals the key components of a great information design. He then takes you through the various types of charts and graphs that you can use in infographic production, before wrapping with some tips for exporting your final product and sourcing and refining your data.",Course,2021-03-19 07:37 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-02-24 07:39 UTC,N/A,false,N/A,
Vue.js: Building an Interface (2017),"The perfect way to learn Vue.js is to use Vue.js. It's an incremental library that can scale to fit almost any developer's needs. Once you build an application interface and see its strengths and flexibility in action, you can decide how much of Vue.js you want to use in your own projects. This hands-on course teaches you how to build a simple component-based app: a rating system with features like search and sorting. Along the way, Ray Villalobos shows how to use Vue.js lifecycle methods to load data from files or an API; leverage HTML templates; work with nested subcomponents; add, edit, and delete records throughout the interface; and build layouts to search records and sort the displayed results. By the end of the course, you'll have a functional app prototype and more skills with this flexible framework.",Course,2018-08-27 08:54 UTC,N/A,false,N/A,
Learning App Building with Vanilla JavaScript,"JavaScript libraries like jQuery and frameworks like React have a lot of benefits to offer, but performance can be a tradeoff. Removing jQuery and React can improve site speed without impacting user experience. But many developers have never learned the equivalent code in JavaScript. This course teaches you how to program the same features and functionality with vanilla JavaScript.<br><br>

Instructor Sasha Vodnik starts with an app built with jQuery and React and replaces it piece by piece with vanilla JavaScript. He removes the dependencies and shows that the app still works, conducting performance tests to compare the start and end code. Topics include replacing DOM manipulation, replacing Ajax, replacing event listeners, and replacing simple animations, like show, hide, and toggle. The end result is a pure JavaScript app that is backwards and cross-browser compatible—no libraries necessary!",Course,2018-12-20 08:08 UTC,N/A,false,N/A,
Excel Tips Weekly,"<p>This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2018-08-20 18:31 UTC,N/A,false,N/A,
CompTIA Cybersecurity Analyst (CySA+) (CS0-003) Cert Prep (2024),"Earning the CompTIA Cybersecurity Analyst+ (CySA+) certification demonstrates that you know how to address cybersecurity threats using an analytics-based approach. This course serves as a comprehensive, all-in-one resource for anyone preparing for the CS0-003 exam. Join University of Notre Dame professor and cybersecurity expert Mike Chapple as he shows you the skills you need to know to tackle the official exam. Mike starts with an overview and general information about the exam, and then goes into detail through each domain of the certification test.",Course,2025-08-17 14:10 UTC,N/A,false,N/A,
Time Management for Busy People,"How are you doing at getting things done? If you're like most people, you've tried traditional time management, you've read the books—but it didn't stick, right? In this course, Sam Bennett shares how to take control of your calendar to get things completed and checked off your lists. Learn how to master your to-do list, schedule effectively, and assess your progress. Plus, Sam shares advanced time-management strategies you can implement today, including how to reverse engineer your time.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2020-11-24 17:52 UTC,N/A,false,N/A,
AI Orchestration: Foundations,"<p>This course outlines how to design and build more complex LLM applications, showcasing the importance of orchestration as part of the process. Topics covered include the components of AI orchestrators, including input and output interfaces, prompt chaining, APIs, AI workflows and agents, and specialized LLMs. Along the way, instructor Denys Linkov shows you how to orchestrate AI to create and manage a simple AI-powered coaching app. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/building-ai-products-understanding-the-workflow-professional-certificate-by-linkedin-learning"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-06-14 10:28 UTC,N/A,false,N/A,
Migrating from REST to GraphQL (2018),"Why use GraphQL over REST APIs? GraphQL is better at querying multiple databases, offers an easy-to-learn syntax, and allows you to retrieve only the data you need. Learn when you should migrate from REST to GraphQL, and how to convert your REST API add, update, and delete operations into GraphQL mutations. Instructor Emmanuel Henri also explains how to build simple, useful queries; use arguments, fragments, and aliases in queries; and perform operations using GraphQL.",Course,2020-10-15 07:21 UTC,N/A,false,N/A,
Learning Haskell Programming,"Get started with Haskell, a functional programming language which—while it has a reputation for being a bit academic—can be practical and easy to learn. In this hands-on course, learn the basics of Haskell. Hakim Cassimally shows how to install and set up Haskell, and helps you get a feel for what this language can do by exploring Haskell using an interactive interpreter. Plus, he helps you apply what you've learned about functions and data types to create, set up, and polish a full project—a word game.<br><br>

Note: This course was created by Packt Publishing. We are pleased to host this training in our library.",Course,2018-08-26 07:28 UTC,N/A,false,N/A,
Statistics Foundations 4: Advanced Topics,"Statistics are everywhere, in every industry, but they're a must for anyone working in data science, business, or business analytics. If you're in one of these specialized fields, chances are you need an advanced understanding of statistics. Complete your mastery in this course, part four in our <i>Statistics Foundations</i> series. Eddie Davila covers concepts such as small sample sizes, <i>t</i>-distribution, degrees of freedom, and more.  This advanced skills training moves learners into the practical study and application of experimental design, analysis of variance (ANOVA), two-population comparisons, and regression analysis. Use these lessons to go beyond the basics and dive deeper into the specific factors that influence your own calculations and results.",Course,2024-04-10 06:09 UTC,N/A,true,N/A,
Succeeding in Web Development: Full Stack and Front End,"Do you want to become a web developer? Nowadays, web development isn't one job. There is a range of technologies and career options to explore. The core responsibilities are split two ways—between front-end developers who specialize in websites and applications and back-end developers who work with servers and databases—but you can also become a full-stack developer who oversees all aspects of a project. This course provides a map of the core technologies and advice about mastering them, complemented with the details you need to connect them to jobs. Senior staff author Ray Villalobos also provides tips on finding training, getting hired, and maximizing your earning potential in this lucrative and exciting field.",Course,2021-01-26 14:43 UTC,N/A,true,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-11-29 07:24 UTC,N/A,false,N/A,
"Building a Responsible AI Program: Context, Culture, Content, and Commitment","Organizations who use artificial intelligence need to ensure they do so in a socially responsible way, and in this course, Katrina Ingram, the Founder and CEO of Ethically Aligned AI, shows you how to implement a framework to operationalize responsible AI. Katrina shows you how to implement a 4Cs framework—context, content, culture, and commitment—as the basis for a responsible AI program, and provides practical examples of the framework in action. She also explains how to connect AI ethics to organizational values, who should be involved in a Responsible AI program, how to assess and augment governance structures to include oversight for AI, how to think about and use data responsibly, and more. Plus, learn about a process and structure to handle ethical deliberations and how to apply ethics tools to support a responsible AI program.",Course,2024-04-25 05:56 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:718619,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:718619,Course,2019-06-13 07:43 UTC,N/A,false,N/A,
How to Rock an Interview,"Up your interview game. Learn how to rock an interview and land your dream job, in this course adapted from the popular podcast <i>How to Be Awesome at Your Job</i>. Host Pete Mockaitis interviews Pam Skillings, the founder of Big Interview, about how job seekers can be more successful in interviews. It all starts with research. Pam explains how to research the company and the position so that you’re prepared to speak about your suitability in a nongeneric way. Demonstrating this level of preparation shows rather than tells just how motivated and excited you are for the role. Then discover how to prepare and practice—without overpreparing—and use the art of storytelling and the STAR framework to deliver your answers. Plus, learn the secret weapon to ace any interview.

<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2020-05-27 07:10 UTC,N/A,false,N/A,
Managing Anxiety Triggers with Effective Techniques,"<p>Imagine you are having an anxious moment at work. Instead of letting yourself slip into old patterns of negative thoughts or self-criticisms, you can take a step back and try something new. Maybe move around, go out for lunch, drink some water—just don’t start doom scrolling. Emma Seppala is a lecturer at Yale, and in this course, she details techniques on how to manage anxiety. Emma explains that anxiety is telling you something, and by asking yourself ""what do you need?"" you can reclaim your power and energy. Check out this course to learn how to better deal with anxiety and stop subjecting yourself to self-destructive beliefs and behaviors. 
</p><p> 
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-04-09 09:14 UTC,N/A,false,N/A,
Cert Prep: SOLIDWORKS Drawing Tools,"CSWPA-DT certification shows proof of SOLIDWORKS expertise—the type of cutting-edge skill that businesses seek out and reward. Everyone who passes the CSWPA-DT (Certified SOLIDWORKS Professional Advanced Drawing Tools) exam has proven their mastery of the SOLIDWORKS drawing tools. This course prepares you to take the exam and stand out from the crowd in today's competitive job market. Gabriel Corbett shows you where to download the testing software, and goes through each of the objectives in detail, focusing on effective use of time and the most relevant knowledge needed to pass the exam. He covers creating complex projections and views, building a bill of materials (BOM), linking custom properties, adding notes and equations, and sorting and configuring the BOM. In the ""Sample Exam Questions"" chapter, he provides six sample questions and demonstrates how to address them using SOLIDWORKS.",Course,2024-04-04 15:21 UTC,N/A,false,N/A,
Carter Beauford: Under the Table and Drumming,"Learn drumming from a world-class musician. Carter Beauford, world-famous drummer for the Dave Matthews Band, performs along with the rhythm tracks from six of the band's best songs, including ""Ants Marching"" and ""Satellite."" Carter covers such topics as left-hand lead and open-hand approaches, fills, double-bass drums, drum set and cymbal setup, time feel, background and influences, and more. He also discusses the early days of the Dave Matthews Band. These lessons are valuable for drummers of all levels, as well as any musician who plays or programs drums.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2021-02-01 16:56 UTC,N/A,false,N/A,
Learning Docker (2018),"Docker is the next step beyond virtualization. A Docker image contains everything it needs to run, independent of the Linux server on which it lives: a copy of the operating system, a database, code, configuration files, dependencies, and so on. Images can also be packaged and shared with other Docker admins. Arthur Ulfeldt uses Docker to run complex systems with millions of users and hundreds of containers. Here, he shares his knowledge with you. He introduces the basics of Docker, including its containers, Dockerfiles (or base images), and capabilities for networking, data management, infrastructure optimization, and more. Watch and learn how to build your own containers, as well as how to network and link containers.",Course,2021-01-23 07:33 UTC,N/A,false,N/A,
Product Management: Building a Product Strategy,"<p>Behind every successful product there is a clear strategic vision that takes both market and customer needs into account. Essentially, strategy is the set of choices a company makes in order to achieve its objectives. These choices include which products to develop, which market segments to focus on, how to differentiate, how to price, how to position, and more. Product leaders are the guardians of a company's strategy. While many people and teams can contribute to developing a strategy, product leaders need to articulate it and ensure that it's done in a way that is applicable for day-to-day decision-making. This course lays out how to develop an effective product strategy. Instructors Eldad Persky and Teg Grenager walk through a step-by-step process for creating a smart, thoughtful strategy, and explain how to build support for it. Plus, they go over how to maintain and implement your strategy.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/aha-product-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from Aha!.</p>",Course,2021-10-09 08:35 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:604261,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:604261,Course,2018-12-15 09:59 UTC,N/A,false,N/A,
Using Docker and .NET Core,"Why use containers with your .NET Core applications? When you write an application, you have to consider the application code, frameworks, packages, and the underlying operating system itself. Using Docker allows you to encapsulate everything you need to run an application, with all its dependencies, in one nice, neat package that you can replicate on any machine or workstation, as many times as you need. In this course, Shayne Boyer and Lisa Guthrie start with the very basics of Docker, covering the concepts and practical uses, then move on to integrating Docker with Visual Studio to help you containerize your apps with just a few clicks. Finally, Shayne and Lisa show you a simple way to publish your containerized web app.",Course,2022-06-14 05:58 UTC,N/A,false,N/A,
Learning SQL Programming,"<p>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-engineering-foundations-professional-certificate-by-astronomer"" target=""_blank"">Professional Certificate</a> from Astronomer.</p>",Course,2023-01-27 15:52 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5908564,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5908564,Course,2024-04-25 05:57 UTC,N/A,true,N/A,
JavaScript for Web Designers (2016),"Web designers can improve their skill sets and job prospects by getting comfortable with JavaScript. It's the only scripting language for client-side programming—for doing things that would be impossible with HTML and CSS alone—and is increasingly popular for server-side programming, too. Learn some basic, real-world uses for JavaScript in this course with Joe Chellman. Find out how to write JavaScript in the browser and in a code editor, and then put it straight to use in a shopping cart application: creating forms and form fields, reading data, checking input for errors, and performing calculations. Plus, learn how to use JavaScript time and date functions to create features like calendars and countdown clocks, and add interactive content through APIs like Google Maps.<br><br> 

This course is a great jumping-off point for more intricate client-side programming (e.g., mobile apps or highly interactive websites) and server-side programming with frameworks like Node and Backbone. With the addition of JavaScript, your design possibilities are almost limitless.",Course,2019-06-21 07:44 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,Course,2021-01-18 15:41 UTC,N/A,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2025-08-05 18:02 UTC,N/A,false,N/A,
Cert Prep: Project Management Professional (PMP)®,"Note: This course will be removed from LinkedIn Learning on December 31, 2020 due to new requirements from the certification provider. We sincerely apologize for the disruption.<br><br>In today's competitive workplace, effective project managers are critical to the bottom line. That's why the Project Management Professional (PMP®) certification is so important. The PMP demonstrates your mastery, your experience, and your education. Discover what it takes to pass the PMP exam by following along with project manager and exam prep trainer Sandy Mitchell.<br><br>

This certification training course teaches critical project management concepts from the exam and offers study guides and sample practice exams to hone your test-taking skills. This course also fulfills the 35-hour education requirement needed to sit for the exam and provides 35 PDUs for current PMPs who need the credit to maintain their certification.<br><br>
 
Sandy covers the major ideas from the Project Management Body of Knowledge (<i>PMBOK® Guide</i>) and walks you through the project lifecycle. She also goes over material that is not covered in the guide-pointing out what is most likely to be featured on the exam and what you should try to commit to memory.<br><br>
Materials in this class are based on the <i>A Guide to the Project Management Body of Knowledge, (PMBOK® Guide) - Sixth Edition</i>, Project Management Institute Inc., 2017.<br><br>

PDU Allocation <br> Video: 6.25 <br> Chapter Questions: 7.5 <br> Hands on Activities: 10 <br> Individual Exercises: 11.25 <br><br>",Course,2018-08-03 11:53 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:142020,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:142020,Course,2018-08-27 06:26 UTC,N/A,false,N/A,
Learning the Python 3 Standard Library,"<p>Python libraries can cut your development time and reduce your frustration with coding. In this Python 3 course, follow Kathryn Hodge as she walks through the Python standard library. Discover how familiarizing yourself with its facilities can make writing code in this concise, elegant language a little easier. Familiarize yourself with the library's built-in functions, math modules, and input and output modules. Learn how to get information from the Internet with the HTTP module, and more.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2019-01-09 07:45 UTC,N/A,false,N/A,
Machine Learning Foundations: Probability,"<p>If you work with machine learning models, you probably already know that your models are based on estimation and approximation. Probability is everything and more—but how do you leverage it to your advantage?</p><p>In this course, the third part of the Machine Learning Foundations series, join instructor Terezija Semenski for an in-depth exploration of probability, its core concepts and functionalities, and how to use it to design, implement, and manage more reliable machine learning algorithms. Along the way, discover some of the most essential tools and techniques you need to know for successful probabilistic modeling, pulling from the rules of probability, joint and marginal probability, discrete probability distributions, continuous probability distributions, Bayes' theorem, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/machine-learning-statistical-foundations-professional-certificate-by-wolfram-research"" target=""_blank"">Professional Certificate</a> from Wolfram Research.</p>",Course,2024-04-25 05:32 UTC,2024-04-17 06:37 UTC,true,N/A,
